"Name","Version","Package","Type","Size","Source"
"Twitter TweetDeck Desktop 3.1.3 AppV5","3.1.3","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_ef65934a-633a-42c5-a37b-8a9adf5159ac/4","Application","29.1328639984131","\\lounaswps01\idrive\d907ats\source\6006\Install"
"CSC RiskMaster World 6.1","6.1","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_1921b731-03d7-428d-adde-55c8c33c6eb4/3","Application","125.230416297913","\\lounaswps01\idrive\d907ats\Source\4008\Install"
"Captivate","6.0","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_c7d22f43-a706-459d-ba7c-22cdf82fef2e/32","Application","3868.44040298462","\\lounaswps01\idrive\d907ats\source\3947\install"
"Microsoft Orca 5.07 AppV5","5.0.7069","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_935916cf-58c3-4a6d-83a6-3067840f663f/8","Application","2.59697532653809","\\lounaswps01\idrive\d907ats\Source\5471\install"
"Microsoft Configuration Manager Console 2012 AppV5","2012","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_f8950592-0486-4c04-ba32-81b96911aca1/5","Application","222.877527236938","\\lounaswps01\idrive\d907ats\5198\install"
"Microsoft WSE 2.0 SP3 Runtime","2","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_d7b3e9e2-0fea-43fc-a185-8e5c5833820f/2","Application","9.83324146270752","\\lounaswps01\pdrive\d907ats\6033\install"
"Microsoft Office 2007 Primary Interop Assemblies","2007","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_e0e34a27-b100-4b9e-83df-102c3aca4e51/2","Application","6.84916973114014","\\lounaswps01\pdrive\d907ats\6030\install"
"Project Viewer","7.2","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_167d12ef-9ea8-40a2-abec-f75222673365/4","Application","168.258319854736","\\lounaswps01\idrive\D907ats\source\3668\App-V"
"Seavus Project Viewer 7.2 AppV5","7.2","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_177d6fe4-7bfc-4741-9845-86c053eca066/12","Application","130.725128173828","\\lounaswps01\idrive\d907ats\source\5478\install"
"Firefox 17","17.0.8","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_2b73298d-2613-478f-bebe-3e84c516d0af/4","Application","43.9830904006958","\\lounaswps01\idrive\d907ats\Source\6048\Install"
"Chrome for Enterprises 28","28.0.1500.72","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_d4525d2f-153f-4d4a-975d-9eaa7b1d2b24/4","Application","160.374160766602","\\lounaswps01\idrive\d907ats\5885\App-V"
"Microsoft Visio Standard 2010 w/ SP1 MS12-059 KB259","6","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_036f0dde-0a26-4411-9afd-f2409fec5f6b/3","Application","1576.0042886734","\\lounaswps01\idrive\d907ats\source\2641\app-v"
"Microsoft Visio Professional 2010 w/ SP1 MS12-059 KB259","6","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_2662e5db-cbdb-449c-affa-fe2bab5a2d56/3","Application","1576.0042886734","\\lounaswps01\idrive\d907ats\source\2641\app-v"
"Microsoft Visio Premium 2010 APP-V5","2010","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_22f106e2-497c-41c6-a513-a49d8d83524c/8","Application","956.282425880432","\\lounaswps01\idrive\d907ats\Source\5473\install"
"CSC RiskMaster World 7.03 Appv-5","7.03","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_291fce11-9e99-4e06-ba88-b2be99e1b4e3/3","Application","140.009759902954","\\lounaswps01\pdrive\d907ats\4244\App-V\appv5"
"Microsoft Visio Professional 2010 APP-V5","2010","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_4e22748f-3433-415c-a6c7-61a2478386d9/2","Application","956.282425880432","\\lounaswps01\idrive\d907ats\Source\5473\install"
"Microsoft Visio Standard 2010 APP-V5","2010","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_4f446f09-3d95-4574-80cd-7d11d7b79457/3","Application","956.282425880432","\\lounaswps01\idrive\d907ats\Source\5473\install"
"Microsoft ConfigMgr Toolkit 2012 SP1","2012 SP1","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_fc3f8af4-29bb-455a-b9da-063b5a7fe60b/9","Application","7.07527446746826","\\lounaswps01\idrive\d907ats\Source\5483\Install\App-V\5.0"
"Microsoft ConfigMgr Toolkit 2012 SP1","2012 SP1","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_fc3f8af4-29bb-455a-b9da-063b5a7fe60b/9","Application","7.07527446746826","\\lounaswps01\idrive\d907ats\Source\5483\Install\App-V\5.0"
"Microsoft Project Professional 2010 APP-V5","2010","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_8d303980-6a59-4f9d-8821-3def0312d01e/10","Application","321.126550674438","\\lounaswps01\idrive\d907ats\Source\4461\install"
"Microsoft Project Standard 2010 APP-V5","2010","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_f3a49ec7-3b20-4fd0-87c5-399cb997be45/15","Application","307.039019584656","\\lounaswps01\idrive\d907ats\Source\5470\install"
"Guidance Center Manager APP-V5","12","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_c339e759-bfd5-4423-b8fe-43e12d326ea6/7","Application","1.21134090423584","\\lounaswps01\idrive\d907ats\Source\6057\install"
"Microsoft Visual Studio 2008 w/TE, FCU, SP1 & TFS PT w/KB2802599","2008 w/TE, FCU, SP1 & TFS PT w/KB2802599","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_52559c59-ff13-4a23-a63d-f4e6887c62b5/3","Application","2733.5087518692","\\lounaswps01\pdrive\d907ats\6055\source"
"Open XML SDK 2.0 for Microsoft Office","2","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_b276c376-adcd-4085-9bc3-0d10319634f0/7","Application","3.81855392456055","\\lounaswps01\idrive\d907ats\6032\install\"
